,id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
443,21299,Los Ángeles,105.0,3,2,260000,2476
444,21298,San Andrés,93.0,2,2,210000,2258
445,21297,Butarque,80.0,2,2,250000,3125
446,21296,Los Ángeles,54.0,2,1,148000,2741
447,21295,Villaverde,64.0,2,1,99000,1547
448,21294,San Cristóbal,68.0,3,1,88000,1294
449,21293,Villaverde,75.0,3,1,120000,1600
450,21292,Villaverde,100.0,3,2,299995,3000
451,21291,San Andrés,62.0,2,2,148000,2387
452,21290,Villaverde,78.0,3,1,127000,1628
453,21289,San Andrés,83.0,3,1,155000,1867
454,21288,Villaverde,68.0,3,1,97000,1426
455,21287,Los Ángeles,76.0,3,1,108000,1421
456,21286,Villaverde,66.0,2,1,95000,1439
457,21285,San Andrés,65.0,3,1,110000,1692
458,21284,Los Ángeles,65.0,2,1,125000,1923
459,21283,Los Rosales,70.0,2,2,196000,2800
460,21282,San Andrés,49.0,2,1,120000,2449
461,21281,Los Rosales,100.0,3,2,210000,2100
462,21280,Los Rosales,90.0,4,2,230000,2556
463,21279,San Andrés,65.0,3,1,107583,1655
464,21278,San Cristóbal,68.0,2,1,120000,1765
465,21277,San Andrés,90.0,3,1,140000,1556
466,21276,Los Ángeles,55.0,2,1,135000,2455
467,21275,San Andrés,70.0,2,1,126000,1800
468,21274,San Andrés,123.0,4,2,220000,1789
469,21273,Los Rosales,74.0,2,2,198000,2676
470,21272,Los Ángeles,64.0,2,1,150000,2344
471,21271,San Andrés,80.0,3,2,160000,2000
472,21270,Los Rosales,113.0,3,2,359900,3185
473,21269,San Andrés,89.0,3,2,174000,1955
474,21268,San Andrés,109.0,3,1,185000,1697
475,21267,San Andrés,120.0,3,1,180000,1500
476,21266,San Andrés,101.0,2,2,245000,2426
477,21265,Villaverde,75.0,2,1,146000,1947
478,21264,Los Rosales,52.0,2,1,85000,1635
479,21263,Los Rosales,75.0,3,1,139900,1865
480,21262,Los Ángeles,75.0,3,1,113000,1507
481,21261,Villaverde,30.0,1,1,72000,2400
482,21260,Los Rosales,54.0,3,1,91957,1703
483,21259,San Andrés,65.0,3,1,109900,1691
484,21258,San Andrés,65.0,2,1,105000,1615
485,21257,San Cristóbal,60.0,2,1,70000,1167
486,21256,San Andrés,69.0,2,1,132000,1913
487,21255,San Cristóbal,65.0,3,1,120000,1846
488,21254,San Andrés,90.0,3,1,159000,1767
489,21253,San Andrés,100.0,3,2,230000,2300
490,21252,San Cristóbal,62.0,2,1,93000,1500
491,21251,San Cristóbal,83.0,3,2,99900,1204
492,21250,Butarque,81.0,3,1,116100,1433
493,21249,San Cristóbal,65.0,3,1,120000,1846
494,21248,San Andrés,60.0,2,1,138000,2300
495,21247,Los Rosales,83.0,3,1,116675,1406
496,21246,San Cristóbal,76.0,2,1,109491,1441
497,21245,Villaverde,95.0,4,1,138000,1453
498,21244,Butarque,80.0,2,2,250000,3125
499,21243,San Andrés,88.0,2,2,304000,3455
500,21242,San Andrés,67.0,3,1,150000,2239
501,21241,Los Ángeles,90.0,3,1,208000,2311
502,21240,Villaverde,75.0,3,1,114900,1532
503,21239,Los Rosales,89.0,3,1,139000,1562
504,21238,Villaverde,66.0,2,1,116600,1767
505,21237,Villaverde,94.0,3,1,207000,2202
506,21236,Villaverde,85.0,2,2,180000,2118
507,21235,Butarque,68.0,2,1,207000,3044
508,21234,Los Rosales,105.0,3,2,182260,1736
509,21233,Los Rosales,85.0,3,1,159000,1871
510,21232,San Andrés,88.0,3,1,116000,1318
511,21231,San Andrés,160.0,2,1,260000,1625
512,21230,San Andrés,60.0,2,1,99000,1650
513,21229,San Andrés,90.0,3,2,172000,1911
514,21228,San Andrés,88.0,3,1,132260,1503
515,21227,Los Rosales,53.0,1,1,144000,2717
516,21226,Butarque,89.0,3,2,235000,2640
517,21225,Butarque,119.0,3,2,269000,2261
518,21224,San Andrés,65.0,3,1,97000,1492
519,21223,San Cristóbal,120.0,4,2,173000,1442
520,21222,Butarque,85.0,3,1,140200,1649
521,21221,Butarque,110.0,2,2,225000,2045
522,21220,Los Rosales,116.0,3,2,295000,2543
523,21219,San Andrés,80.0,3,1,135000,1688
524,21218,Butarque,115.0,3,2,275000,2391
525,21217,San Andrés,114.0,4,2,257000,2254
526,21216,Los Ángeles,95.0,4,1,175000,1842
527,21215,Butarque,110.0,3,2,274999,2500
528,21214,San Andrés,70.0,2,1,146750,2096
529,21213,Butarque,86.0,2,2,218000,2535
530,21212,Los Rosales,100.0,3,2,285000,2850
531,21211,Los Rosales,274.0,8,3,495000,1807
532,21210,San Andrés,124.0,3,2,260000,2097
533,21209,Villaverde,60.0,3,1,84900,1415
534,21208,San Cristóbal,62.0,3,1,108000,1742
535,21207,Villaverde,118.0,3,2,224000,1898
536,21206,San Andrés,92.0,2,2,154500,1679
537,21205,San Andrés,78.0,3,1,116050,1488
538,21204,Villaverde,70.0,3,1,129990,1857
539,21203,San Andrés,77.0,3,1,122000,1584
540,21202,Villaverde,89.0,2,2,144801,1627
541,21201,Los Rosales,92.0,3,1,147000,1598
543,21199,San Cristóbal,66.0,3,1,88000,1333
544,21198,Villaverde,80.0,3,1,99000,1238
545,21197,Villaverde,98.0,3,2,219000,2235
